2025-02-28 14:26:34 - Machine initialized with clock rate: 23 ticks/second
2025-02-28 14:26:50 - Received message from Machine 1, Queue length: 1, Logical clock: 1036
2025-02-28 14:26:50 - Received message from Machine 1, Queue length: 0, Logical clock: 1045
2025-02-28 14:26:50 - Received message from Machine 1, Queue length: 1, Logical clock: 1049
2025-02-28 14:26:50 - Received message from Machine 1, Queue length: 3, Logical clock: 1052
2025-02-28 14:26:50 - Received message from Machine 1, Queue length: 2, Logical clock: 1053
2025-02-28 14:26:50 - Received message from Machine 0, Queue length: 1, Logical clock: 1054
2025-02-28 14:26:50 - Received message from Machine 1, Queue length: 0, Logical clock: 1055
2025-02-28 14:26:50 - Internal event, Logical clock: 1056
2025-02-28 14:26:50 - Internal event, Logical clock: 1057
2025-02-28 14:26:50 - Received message from Machine 1, Queue length: 0, Logical clock: 1074
2025-02-28 14:26:50 - Internal event, Logical clock: 1075
2025-02-28 14:26:50 - Internal event, Logical clock: 1076
2025-02-28 14:26:50 - Internal event, Logical clock: 1077
2025-02-28 14:26:50 - Sent message to Machine 1, Logical clock: 1078
2025-02-28 14:26:50 - Sent message to Machine 0, Logical clock: 1079
2025-02-28 14:26:50 - Received message from Machine 1, Queue length: 0, Logical clock: 1098
2025-02-28 14:26:50 - Received message from Machine 1, Queue length: 1, Logical clock: 1101
2025-02-28 14:26:50 - Received message from Machine 0, Queue length: 1, Logical clock: 1102
2025-02-28 14:26:51 - Received message from Machine 1, Queue length: 1, Logical clock: 1104
2025-02-28 14:26:51 - Received message from Machine 0, Queue length: 3, Logical clock: 1106
2025-02-28 14:26:51 - Received message from Machine 0, Queue length: 3, Logical clock: 1108
2025-02-28 14:26:51 - Received message from Machine 1, Queue length: 3, Logical clock: 1111
2025-02-28 14:26:51 - Received message from Machine 1, Queue length: 2, Logical clock: 1112
2025-02-28 14:26:51 - Received message from Machine 0, Queue length: 2, Logical clock: 1114
2025-02-28 14:26:51 - Received message from Machine 0, Queue length: 3, Logical clock: 1115
2025-02-28 14:26:51 - Received message from Machine 0, Queue length: 2, Logical clock: 1125
2025-02-28 14:26:51 - Received message from Machine 0, Queue length: 3, Logical clock: 1129
2025-02-28 14:26:51 - Received message from Machine 1, Queue length: 3, Logical clock: 1130
2025-02-28 14:26:51 - Received message from Machine 1, Queue length: 3, Logical clock: 1134
2025-02-28 14:26:51 - Received message from Machine 1, Queue length: 3, Logical clock: 1135
2025-02-28 14:26:51 - Received message from Machine 1, Queue length: 3, Logical clock: 1139
2025-02-28 14:26:51 - Received message from Machine 1, Queue length: 4, Logical clock: 1141
2025-02-28 14:26:51 - Received message from Machine 1, Queue length: 5, Logical clock: 1146
2025-02-28 14:26:51 - Received message from Machine 1, Queue length: 5, Logical clock: 1150
2025-02-28 14:26:51 - Received message from Machine 1, Queue length: 7, Logical clock: 1152
2025-02-28 14:26:51 - Received message from Machine 1, Queue length: 6, Logical clock: 1154
2025-02-28 14:26:51 - Received message from Machine 1, Queue length: 6, Logical clock: 1155
2025-02-28 14:26:51 - Received message from Machine 1, Queue length: 7, Logical clock: 1156
2025-02-28 14:26:51 - Received message from Machine 1, Queue length: 7, Logical clock: 1160
2025-02-28 14:26:52 - Received message from Machine 1, Queue length: 6, Logical clock: 1162
2025-02-28 14:26:52 - Received message from Machine 0, Queue length: 7, Logical clock: 1163
2025-02-28 14:26:52 - Received message from Machine 1, Queue length: 6, Logical clock: 1165
2025-02-28 14:26:52 - Received message from Machine 0, Queue length: 6, Logical clock: 1170
