2025-02-28 14:32:09 - Machine initialized with clock rate: 13 ticks/second
2025-02-28 14:32:11 - Internal event, Logical clock: 1
2025-02-28 14:32:37 - Received message from Machine 2, Queue length: 16, Logical clock: 1164
2025-02-28 14:32:37 - Received message from Machine 2, Queue length: 15, Logical clock: 1166
2025-02-28 14:32:37 - Received message from Machine 2, Queue length: 14, Logical clock: 1167
2025-02-28 14:32:38 - Received message from Machine 1, Queue length: 15, Logical clock: 1169
2025-02-28 14:32:38 - Received message from Machine 2, Queue length: 16, Logical clock: 1172
2025-02-28 14:32:38 - Received message from Machine 2, Queue length: 18, Logical clock: 1177
2025-02-28 14:32:38 - Received message from Machine 1, Queue length: 18, Logical clock: 1181
2025-02-28 14:32:38 - Received message from Machine 2, Queue length: 19, Logical clock: 1185
2025-02-28 14:32:38 - Received message from Machine 1, Queue length: 18, Logical clock: 1186
2025-02-28 14:32:38 - Received message from Machine 2, Queue length: 18, Logical clock: 1190
2025-02-28 14:32:38 - Received message from Machine 2, Queue length: 21, Logical clock: 1201
